COD_SAIDA,COD_OP,SKU,NOME_ARQUIVO,MARCA,ESCOLA,REGIAO,TIRAGEM,SEGMENTO,ENSINO,TURNO,MODELO,MATERIAL,SEPARACAO,MIOLO_PAPEL,MIOLO_FORMATO,MIOLO_GRAMATURA,MIOLO_COR,CAPA_TIPO,ACABAMENTO1,REFILE,FORMATO_FINAL,MAQUINARIO,DATA_SAIDA,DATA_ENTREGA
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Bangu,,59,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Campo Grande 1,,105,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Duque de Caxias,,54,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Iguaçuano,,55,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Irajá,,47,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Madureira 3,,80,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Nilópolis,,56,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Taquara,,61,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Vila Valqueire,,50,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
ELITE2024-10-03,,ELITE2024-10-03f4319741ed68cb6577566e4290576a3648843e1931a9271f8d40311603a0c10c,PM3 - 9º Militar Manhã,ELITE,Itaguai,,29,Militar,,Manhã,,Grampo,1.0,Offset,A4,75g,1x1,,Grampo,Não,A4,,2024-10-03,2024-10-04
